,RUL-predicted,TRUE-RUL
0,209.8325,142
1,226.6725,141
2,208.715,140
3,201.6925,139
4,207.045,138
5,223.13,137
6,213.295,136
7,203.4275,135
8,204.62,134
9,206.51,133
10,211.775,132
11,198.7775,131
12,214.795,130
13,206.2675,129
14,196.3425,128
15,197.51,127
16,214.2325,126
17,187.64,125
18,184.9075,124
19,182.9275,123
20,190.0775,122
21,199.2575,121
22,210.465,120
23,189.2525,119
24,180.155,118
25,201.1875,117
26,177.0725,116
27,204.955,115
28,180.795,114
29,171.25,113
30,169.45,112
31,182.9175,146
32,187.7825,145
33,205.145,144
34,199.465,143
35,194.025,142
36,199.34,141
37,195.6475,140
38,200.2375,139
39,188.0975,138
40,181.66,137
41,199.5025,136
42,191.4075,135
43,182.15,134
44,186.5525,133
45,185.405,132
46,193.01,131
47,194.65,130
48,179.76,129
49,184.565,128
50,180.4,127
51,180.3575,126
52,174.815,125
53,177.1325,124
54,162.9475,123
55,170.715,122
56,174.4875,121
57,169.285,120
58,172.1875,119
59,169.995,118
60,165.85,117
61,162.175,116
62,167.52,115
63,155.8275,114
64,165.5475,113
65,162.2625,112
66,161.2,111
67,173.845,110
68,157.8875,109
69,149.22,108
70,161.8125,107
71,155.3325,106
72,160.54,105
73,144.545,104
74,146.88,103
75,157.8075,102
76,149.855,101
77,161.7425,100
78,152.4175,99
79,154.4625,98
80,190.535,194
81,191.435,193
82,184.2225,192
83,191.3175,191
84,192.3075,190
85,183.4825,189
86,191.2525,188
87,179.12,187
88,193.6525,186
89,183.7775,185
90,194.075,184
91,178.5875,183
92,182.19,182
93,181.53,181
94,189.925,180
95,182.5975,179
96,177.5725,178
97,180.8425,177
98,166.9825,176
99,170.43,175
100,173.5425,174
101,171.5325,173
102,170.7025,172
103,169.105,171
104,171.18,170
105,169.3575,169
106,161.0825,168
107,172.0025,167
108,159.535,166
109,169.38,165
110,159.045,164
111,158.365,163
112,162.01,162
113,164.07,161
114,162.3975,160
115,166.5,159
116,160.46,158
117,161.9425,157
118,157.8175,156
119,156.2425,155
120,162.9125,154
121,152.0325,153
122,147.525,152
123,156.3725,151
124,144.9875,150
125,157.6575,149
126,148.8225,148
127,143.345,147
128,150.1825,146
129,132.7875,145
130,153.03,144
131,142.46,143
132,143.2525,142
133,149.8,141
134,155.675,140
135,139.385,139
136,136.4775,138
137,133.9175,137
138,140.3625,136
139,139.2725,135
140,139.6,134
141,148.23,133
142,136.8725,132
143,127.6075,131
144,150.49,130
145,128.48,129
146,136.735,128
147,133.5625,127
148,127.8275,126
149,117.5625,125
150,120.9575,124
151,122.3125,123
152,124.4575,122
153,126.7775,121
154,123.4875,120
155,122.8225,119
156,110.1,118
157,131.015,117
158,117.365,116
159,115.1825,115
160,115.0875,114
161,116.5075,113
162,104.5125,112
163,113.3975,111
164,108.175,110
165,116.645,109
166,101.2525,108
167,97.975,107
168,105.6975,106
169,115.815,105
170,108.6175,104
171,107.23,103
172,104.0375,102
173,95.2975,101
174,97.3625,100
175,103.6825,99
176,108.3925,98
177,94.705,97
178,99.375,96
179,90.785,95
180,102.5175,94
181,97.7,93
182,91.5225,92
183,79.4375,91
184,91.8,90
185,83.295,89
186,98.0825,88
187,88.8175,87
188,95.2,86
189,86.775,85
190,74.9775,84
191,60.9775,83
192,72.8225,82
193,78.985,81
194,75.37,80
195,77.86,79
196,71.895,78
197,75.1025,77
198,80.3075,76
199,47.66,75
200,68.0825,74
201,63.8525,73
202,53.425,72
203,66.97,71
204,64.1975,70
205,52.165,69
206,189.225,187
207,179.405,186
208,189.9,185
209,190.8175,184
210,183.1825,183
211,184.955,182
212,192.2125,181
213,177.7425,180
214,190.5725,179
215,207.355,178
216,189.0375,177
217,186.07,176
218,207.365,175
219,184.7625,174
220,177.1225,173
221,184.145,172
222,174.8475,171
223,183.8025,170
224,174.015,169
225,174.55,168
226,169.365,167
227,177.835,166
228,178.5975,165
229,172.44,164
230,189.26,163
231,174.325,162
232,182.55,161
233,175.91,160
234,166.1675,159
235,162.095,158
236,171.91,157
237,155.9525,156
238,187.8875,155
239,163.7,154
240,154.7575,153
241,211.095,152
242,154.21,151
243,158.0025,150
244,174.94,149
245,160.3275,148
246,156.8975,147
247,156.1025,146
248,156.2375,145
249,149.1425,144
250,156.15,143
251,150.7725,142
252,152.9775,141
253,153.2725,140
254,154.9925,139
255,154.6,138
256,147.4325,137
257,147.9925,136
258,149.0125,135
259,145.075,134
260,148.155,133
261,141.355,132
262,140.0625,131
263,144.2825,130
264,141.96,129
265,143.4775,128
266,143.935,127
267,127.9625,126
268,133.7625,125
269,138.6075,124
270,147.1875,123
271,134.76,122
272,144.2375,121
273,131.76,120
274,124.9375,119
275,123.7,118
276,127.2575,117
277,113.61,116
278,126.0825,115
279,114.435,114
280,115.025,113
281,109.43,112
282,122.045,111
283,115.215,110
284,128.78,109
285,118.0825,108
286,133.6575,107
287,124.1225,106
288,121.7775,105
289,116.9375,104
290,127.71,103
291,109.905,102
292,106.985,101
293,114.075,100
294,110.46,99
295,111.79,98
296,110.3025,97
297,105.955,96
298,107.725,95
299,98.7725,94
300,109.185,93
301,95.6175,92
302,96.145,91
303,94.515,90
304,98.5275,89
305,90.6475,88
306,83.425,87
307,111.6525,86
308,90.8975,85
309,84.035,84
310,80.855,83
311,76.8825,82
312,198.6525,188
313,196.6125,187
314,192.61,186
315,183.3725,185
316,196.02,184
317,199.5825,183
318,184.88,182
319,192.5675,181
320,188.305,180
321,186.225,179
322,202.385,178
323,184.2325,177
324,180.3175,176
325,190.9625,175
326,171.9125,174
327,175.71,173
328,182.0775,172
329,177.955,171
330,177.215,170
331,167.68,169
332,178.45,168
333,175.06,167
334,174.685,166
335,190.9475,165
336,172.4,164
337,172.5225,163
338,170.69,162
339,161.0925,161
340,177.0075,160
341,158.6175,159
342,174.085,158
343,166.6975,157
344,169.1475,156
345,157.8975,155
346,156.2575,154
347,167.605,153
348,164.645,152
349,163.0825,151
350,156.9675,150
351,167.195,149
352,162.9625,148
353,149.86,147
354,154.275,146
355,147.1025,145
356,176.1175,144
357,152.06,143
358,150.58,142
359,142.7475,141
360,145.935,140
361,142.52,139
362,148.7425,138
363,148.2075,137
364,147.2925,136
365,154.59,135
366,143.4425,134
367,140.2275,133
368,151.0275,132
369,146.145,131
370,152.4575,130
371,148.5175,129
372,141.0075,128
373,129.61,127
374,134.89,126
375,129.9825,125
376,134.18,124
377,133.0575,123
378,126.18,122
379,116.1475,121
380,131.1425,120
381,131.4925,119
382,130.5425,118
383,131.9825,117
384,131.0225,116
385,114.885,115
386,126.3825,114
387,114.7775,113
388,137.3725,112
389,119.64,111
390,121.435,110
391,122.745,109
392,113.795,108
393,114.775,107
394,111.3875,106
395,112.665,105
396,114.27,104
397,124.6125,103
398,103.005,102
399,107.11,101
400,120.9,100
401,111.975,99
402,103.9775,98
403,103.2425,97
404,103.0325,96
405,114.06,95
406,95.24,94
407,99.4875,93
408,104.085,92
409,107.365,91
410,188.56,197
411,199.3425,196
412,195.4125,195
413,187.2775,194
414,202.58,193
415,189.8625,192
416,193.9725,191
417,200.5925,190
418,184.0875,189
419,193.9275,188
420,193.69,187
421,183.03,186
422,192.7425,185
423,180.3825,184
424,176.0075,183
425,181.485,182
426,180.6575,181
